"Region, subregion, country or area *",Country code,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
French Polynesia,258,Country/Area,60.27,62.07,63.85,65.59,67.24,68.85,70.44,72.06,73.83,75.80,78.08,80.71,83.65,86.85,90.13,93.44,96.72,99.99,103.33,106.81,110.49,114.39,118.44,122.64,126.92,131.23,135.56,139.89,144.27,148.73,153.30,157.95,162.68,167.46,172.25,177.02,181.81,186.59,191.26,195.73,199.91,203.72,207.24,210.64,214.20,218.06,222.32,226.85,231.56,236.22,240.68,244.93,248.98,252.71,256.00,258.78,261.01,262.72,264.06,265.26,266.45,267.70,269.00,270.33,271.71,273.12,274.58,276.11,277.67,279.29,280.90
Mayotte,175,Country/Area,15.14,15.73,16.44,17.24,18.10,18.99,19.90,20.84,21.83,22.89,24.02,25.24,26.54,27.89,29.22,30.52,31.78,33.01,34.25,35.55,36.96,38.52,40.20,41.96,43.73,45.48,47.19,48.89,50.70,52.75,55.14,57.91,61.04,64.49,68.21,72.11,76.19,80.45,84.94,89.71,94.78,100.16,105.83,111.63,117.47,123.19,128.75,134.21,139.58,144.93,150.33,155.76,161.20,166.72,172.35,178.10,184.03,190.10,196.27,202.49,208.72,214.94,221.15,227.38,233.66,240.01,246.46,252.96,259.53,266.15,272.81
Sao Tome and Principe,678,Country/Area,60.00,59.22,58.55,58.18,58.26,58.81,59.77,61.03,62.35,63.51,64.29,64.60,64.48,64.24,64.28,64.88,66.17,68.04,70.26,72.50,74.57,76.34,77.93,79.46,81.15,83.13,85.48,88.10,90.85,93.46,95.79,97.77,99.48,101.06,102.83,104.93,107.43,110.26,113.29,116.31,119.21,121.95,124.57,127.07,129.43,131.68,133.80,135.83,137.86,139.96,142.26,144.76,147.45,150.41,153.74,157.47,161.68,166.30,171.12,175.88,180.37,184.52,188.39,192.08,195.73,199.44,203.22,207.09,211.03,215.05,219.16
Samoa,882,Country/Area,82.11,84.42,86.81,89.21,91.67,94.19,96.78,99.48,102.33,105.37,108.63,112.11,115.77,119.55,123.35,127.06,130.67,134.18,137.48,140.50,143.15,145.41,147.30,148.86,150.19,151.35,152.36,153.22,153.99,154.74,155.52,156.41,157.37,158.35,159.24,160.00,160.55,160.96,161.37,161.94,162.80,164.00,165.49,167.12,168.69,170.05,171.17,172.07,172.84,173.61,174.45,175.39,176.41,177.48,178.60,179.72,180.87,182.05,183.27,184.55,185.94,187.47,189.09,190.71,192.22,193.51,194.54,195.36,196.13,197.09,198.41
Saint Lucia,662,Country/Area,82.78,83.81,84.66,85.35,85.95,86.47,86.99,87.52,88.12,88.84,89.70,90.72,91.89,93.21,94.64,96.14,97.72,99.37,101.03,102.60,104.02,105.24,106.30,107.31,108.39,109.63,111.07,112.69,114.40,116.15,117.83,119.44,120.99,122.57,124.30,126.25,128.45,130.87,133.36,135.79,138.02,140.00,141.76,143.40,145.08,146.87,148.84,150.92,153.02,154.99,156.74,158.18,159.39,160.53,161.82,163.41,165.38,167.64,170.01,172.22,174.09,175.54,176.65,177.51,178.31,179.13,180.03,180.96,181.89,182.80,183.63
Channel Islands,830,Country/Area,102.24,102.97,103.66,104.32,104.96,105.61,106.27,106.97,107.71,108.53,109.42,110.40,111.46,112.59,113.78,114.99,116.23,117.47,118.73,119.98,121.20,122.41,123.61,124.72,125.68,126.42,126.91,127.19,127.40,127.69,128.20,128.99,129.98,131.15,132.45,133.80,135.24,136.76,138.25,139.58,140.68,141.47,142.01,142.41,142.87,143.48,144.35,145.39,146.50,147.55,148.44,149.10,149.59,150.07,150.72,151.67,153.00,154.64,156.44,158.19,159.72,160.99,162.05,163.04,164.11,165.39,166.92,168.67,170.50,172.26,173.86
Guam,316,Country/Area,59.65,60.26,60.87,61.47,62.06,62.65,63.26,63.93,64.70,65.62,66.73,68.07,69.61,71.29,73.05,74.83,76.61,78.41,80.21,82.04,83.88,85.73,87.58,89.46,91.38,93.35,95.38,97.48,99.63,101.84,104.13,106.48,108.90,111.40,113.95,116.58,119.23,121.92,124.67,127.53,130.48,133.55,136.69,139.81,142.81,145.56,148.06,150.30,152.27,153.96,155.32,156.40,157.17,157.72,158.09,158.41,158.65,158.85,159.04,159.23,159.44,159.69,159.99,160.42,161.01,161.85,162.95,164.28,165.77,167.30,168.78
Curaçao,531,Country/Area,100.18,104.57,108.29,111.51,114.35,116.92,119.28,121.46,123.48,125.31,126.94,128.38,129.69,130.96,132.32,133.88,135.65,137.62,139.68,141.72,143.64,145.45,147.15,148.62,149.69,150.26,150.24,149.71,148.94,148.28,148.00,148.21,148.81,149.59,150.19,150.38,150.07,149.33,148.35,147.42,146.68,146.24,146.02,145.77,145.13,143.88,141.97,139.53,136.87,134.30,132.15,130.41,129.08,128.42,128.71,130.14,132.81,136.58,141.00,145.36,149.19,152.31,154.81,156.79,158.43,159.85,161.06,161.99,162.75,163.42,164.10
Kiribati,296,Country/Area,33.05,33.62,34.27,34.98,35.75,36.57,37.43,38.32,39.24,40.21,41.20,42.23,43.28,44.34,45.39,46.43,47.43,48.40,49.35,50.27,51.14,51.98,52.78,53.56,54.33,55.11,55.92,56.76,57.61,58.47,59.30,60.10,60.89,61.74,62.75,63.99,65.50,67.24,69.09,70.85,72.39,73.69,74.77,75.71,76.67,77.72,78.90,80.19,81.56,82.97,84.41,85.84,87.31,88.84,90.50,92.32,94.34,96.53,98.76,100.93,102.93,104.74,106.36,107.89,109.39,110.93,112.53,114.15,115.84,117.61,119.45
Micronesia (Fed. States of),583,Country/Area,32.00,33.40,34.59,35.68,36.76,37.88,39.07,40.35,41.70,43.10,44.51,45.94,47.37,48.86,50.48,52.22,54.19,56.31,58.39,60.15,61.42,62.09,62.28,62.27,62.46,63.12,64.36,66.08,68.20,70.52,72.94,75.42,78.02,80.63,83.19,85.64,87.90,89.99,91.98,94.06,96.30,98.78,101.39,103.90,106.03,107.54,108.31,108.47,108.21,107.77,107.41,107.17,107.03,106.90,106.62,106.14,105.37,104.44,103.55,102.97,102.92,103.45,104.51,105.92,107.44,108.89,110.22,111.46,112.64,113.81,115.02
Grenada,308,Country/Area,76.68,76.65,77.18,78.17,79.50,81.10,82.88,84.73,86.57,88.33,89.93,91.32,92.48,93.41,94.12,94.63,94.94,95.01,94.93,94.72,94.48,94.21,93.98,93.66,93.19,92.49,91.47,90.22,89.10,88.60,89.03,90.61,93.13,96.02,98.47,99.95,100.18,99.43,98.13,96.93,96.33,96.46,97.16,98.23,99.35,100.29,101.00,101.57,102.02,102.43,102.84,103.24,103.64,104.00,104.35,104.66,104.94,105.18,105.46,105.79,106.23,106.79,107.45,108.17,108.90,109.60,110.26,110.87,111.45,112.00,112.52
Saint Vincent and the Grenadines,670,Country/Area,67.00,68.08,69.29,70.61,72.05,73.55,75.11,76.67,78.20,79.63,80.97,82.17,83.24,84.20,85.12,86.01,86.91,87.78,88.66,89.57,90.50,91.49,92.51,93.56,94.62,95.67,96.69,97.71,98.69,99.65,100.57,101.44,102.26,103.04,103.78,104.50,105.22,105.91,106.53,107.07,107.49,107.77,107.94,108.04,108.06,108.04,107.98,107.90,107.81,107.76,107.79,107.89,108.10,108.32,108.52,108.62,108.60,108.52,108.40,108.29,108.26,108.32,108.44,108.62,108.87,109.14,109.47,109.83,110.21,110.59,110.95
Aruba,533,Country/Area,38.05,38.27,38.96,40.15,41.76,43.72,45.93,48.24,50.50,52.53,54.21,55.43,56.23,56.70,57.03,57.36,57.70,58.04,58.38,58.73,59.07,59.44,59.85,60.24,60.53,60.65,60.59,60.37,60.10,59.97,60.10,60.56,61.34,62.21,62.83,63.02,62.65,61.84,61.07,61.03,62.15,64.62,68.24,72.50,76.71,80.32,83.21,85.45,87.28,89.01,90.87,92.89,94.99,97.02,98.74,100.03,100.83,101.23,101.36,101.45,101.67,102.05,102.57,103.17,103.78,104.34,104.87,105.36,105.85,106.31,106.77
Tonga,776,Country/Area,47.22,49.31,51.18,52.79,54.15,55.32,56.37,57.37,58.49,59.85,61.57,63.72,66.23,68.98,71.74,74.35,76.77,79.03,81.08,82.86,84.34,85.49,86.33,86.96,87.58,88.32,89.23,90.26,91.34,92.27,92.97,93.42,93.64,93.74,93.79,93.90,94.08,94.32,94.59,94.85,95.07,95.24,95.40,95.56,95.74,95.97,96.27,96.62,97.04,97.48,97.96,98.48,99.02,99.59,100.21,100.91,101.71,102.58,103.38,103.90,103.98,103.56,102.74,101.77,101.02,100.78,101.14,102.00,103.20,104.50,105.70
United States Virgin Islands,850,Country/Area,26.79,27.37,28.12,28.81,29.35,29.67,29.86,30.06,30.49,31.43,33.14,35.72,39.07,42.89,46.73,50.23,53.25,55.92,58.47,61.32,64.72,68.77,73.28,77.98,82.48,86.47,89.85,92.69,95.07,97.17,99.09,100.87,102.47,103.82,104.78,105.28,105.29,104.89,104.32,103.86,103.76,104.09,104.80,105.73,106.64,107.39,107.94,108.31,108.55,108.68,108.73,108.69,108.56,108.35,108.10,107.80,107.47,107.12,106.75,106.42,106.09,105.79,105.52,105.30,105.11,104.95,104.83,104.75,104.67,104.58,104.42
Seychelles,690,Country/Area,36.33,36.90,37.48,38.00,38.51,38.96,39.39,39.84,40.32,40.90,41.61,42.46,43.46,44.55,45.68,46.79,47.87,48.92,50.00,51.13,52.37,53.71,55.13,56.61,58.10,59.58,61.04,62.48,63.85,65.11,66.24,67.24,68.12,68.84,69.40,69.77,69.94,69.95,69.93,70.09,70.57,71.45,72.66,74.07,75.44,76.65,77.60,78.36,79.06,79.90,81.00,82.41,84.08,85.81,87.39,88.65,89.53,90.08,90.45,90.79,91.27,91.88,92.61,93.40,94.21,94.98,95.71,96.42,97.09,97.74,98.34
Antigua and Barbuda,28,Country/Area,45.52,46.54,47.39,48.14,48.88,49.65,50.46,51.36,52.28,53.21,54.13,55.01,55.85,56.70,57.64,58.70,59.91,61.24,62.52,63.55,64.18,64.35,64.13,63.65,63.11,62.67,62.35,62.16,62.04,61.95,61.86,61.79,61.78,61.78,61.78,61.79,61.75,61.71,61.76,62.01,62.53,63.36,64.46,65.78,67.20,68.67,70.18,71.71,73.22,74.67,76.01,77.21,78.30,79.31,80.35,81.46,82.72,84.03,85.39,86.74,88.03,89.25,90.41,91.51,92.56,93.57,94.52,95.43,96.28,97.12,97.93
Isle of Man,833,Country/Area,55.25,55.22,54.85,54.21,53.37,52.41,51.40,50.43,49.57,48.88,48.44,48.29,48.42,48.80,49.40,50.15,51.05,52.12,53.25,54.38,55.43,56.35,57.17,57.92,58.67,59.48,60.37,61.34,62.26,63.03,63.55,63.78,63.77,63.70,63.81,64.28,65.20,66.48,67.93,69.26,70.29,70.93,71.26,71.43,71.66,72.13,72.88,73.85,74.94,76.00,76.94,77.71,78.32,78.88,79.52,80.29,81.28,82.41,83.52,84.38,84.86,84.89,84.53,83.99,83.49,83.23,83.30,83.61,84.07,84.59,85.03
Andorra,20,Country/Area,6.20,6.69,7.25,7.86,8.53,9.23,9.98,10.78,11.61,12.50,13.41,14.38,15.38,16.41,17.47,18.54,19.65,20.76,21.89,23.05,24.28,25.57,26.89,28.23,29.52,30.71,31.78,32.77,33.74,34.83,36.06,37.50,39.12,40.85,42.71,44.59,46.52,48.46,50.43,52.45,54.51,56.67,58.88,60.97,62.68,63.86,64.36,64.32,64.14,64.37,65.39,67.34,70.05,73.18,76.25,78.87,81.00,82.68,83.86,84.46,84.45,83.75,82.43,80.77,79.21,77.99,77.30,77.00,77.01,77.15,77.27
Dominica,212,Country/Area,51.10,51.70,52.29,52.94,53.68,54.56,55.54,56.63,57.78,58.92,60.02,61.04,61.98,62.92,63.92,65.04,66.30,67.69,69.03,70.21,71.08,71.57,71.73,71.74,71.81,72.09,72.66,73.44,74.28,74.96,75.32,75.31,75.01,74.48,73.85,73.21,72.53,71.84,71.21,70.72,70.42,70.38,70.55,70.82,71.04,71.11,70.93,70.59,70.18,69.83,69.65,69.67,69.84,70.10,70.39,70.58,70.72,70.80,70.83,70.85,70.88,70.91,70.95,71.02,71.09,71.18,71.31,71.46,71.63,71.81,71.99
Cayman Islands,136,Country/Area,6.42,6.27,6.25,6.32,6.46,6.67,6.91,7.18,7.43,7.66,7.87,8.02,8.14,8.22,8.30,8.37,8.44,8.52,8.64,8.83,9.14,9.59,10.14,10.78,11.49,12.23,13.02,13.85,14.68,15.49,16.21,16.86,17.44,18.01,18.66,19.46,20.43,21.54,22.78,24.03,25.31,26.54,27.78,29.07,30.52,32.16,34.07,36.16,38.33,40.42,42.31,43.93,45.35,46.62,47.90,49.26,50.73,52.28,53.84,55.32,56.67,57.88,58.96,59.93,60.85,61.72,62.56,63.38,64.17,64.95,65.72
Bermuda,60,Country/Area,37.26,37.80,38.44,39.14,39.91,40.71,41.54,42.37,43.23,44.09,44.99,45.90,46.82,47.72,48.59,49.38,50.12,50.79,51.39,51.98,52.57,53.15,53.75,54.33,54.88,55.40,55.88,56.32,56.75,57.17,57.58,57.99,58.39,58.79,59.18,59.59,60.01,60.42,60.84,61.24,61.63,62.01,62.39,62.75,63.10,63.44,63.77,64.09,64.39,64.70,65.02,65.33,65.65,65.94,66.16,66.26,66.24,66.13,65.94,65.68,65.39,65.08,64.74,64.38,64.04,63.70,63.36,63.04,62.76,62.51,62.27
Marshall Islands,584,Country/Area,13.01,13.23,13.44,13.63,13.79,13.90,14.00,14.09,14.21,14.39,14.67,15.06,15.55,16.11,16.71,17.28,17.83,18.38,18.97,19.62,20.39,21.31,22.34,23.44,24.53,25.58,26.55,27.48,28.40,29.42,30.57,31.88,33.33,34.88,36.56,38.33,40.21,42.17,44.09,45.83,47.27,48.40,49.24,49.83,50.21,50.45,50.52,50.45,50.36,50.42,50.75,51.41,52.37,53.47,54.48,55.26,55.77,56.05,56.17,56.26,56.36,56.52,56.71,56.93,57.18,57.44,57.72,58.05,58.41,58.79,59.19
Northern Mariana Islands,580,Country/Area,7.00,7.08,7.20,7.39,7.66,7.98,8.38,8.81,9.24,9.64,9.98,10.24,10.44,10.59,10.78,11.02,11.34,11.72,12.14,12.58,13.00,13.42,13.88,14.32,14.67,14.92,15.02,15.05,15.17,15.64,16.63,18.17,20.16,22.62,25.50,28.72,32.38,36.37,40.29,43.54,45.75,46.66,46.47,45.76,45.36,45.87,47.52,50.05,53.00,55.63,57.45,58.32,58.41,57.95,57.24,56.55,55.89,55.22,54.62,54.19,53.97,54.01,54.31,54.79,55.30,55.78,56.19,56.55,56.89,57.21,57.56
Greenland,304,Country/Area,22.99,23.47,23.94,24.47,25.09,25.85,26.73,27.73,28.84,30.02,31.23,32.48,33.73,35.04,36.44,37.97,39.61,41.36,43.10,44.70,46.08,47.20,48.07,48.74,49.23,49.58,49.78,49.85,49.87,49.94,50.18,50.58,51.16,51.83,52.53,53.19,53.79,54.37,54.88,55.29,55.60,55.78,55.86,55.85,55.82,55.81,55.83,55.87,55.95,56.05,56.18,56.34,56.52,56.71,56.87,56.95,56.97,56.93,56.84,56.73,56.64,56.56,56.48,56.41,56.38,56.38,56.41,56.47,56.57,56.66,56.77
American Samoa,16,Country/Area,18.94,19.29,19.55,19.70,19.76,19.75,19.71,19.67,19.69,19.83,20.13,20.61,21.25,22.03,22.85,23.68,24.47,25.24,25.98,26.70,27.36,27.98,28.56,29.10,29.60,30.05,30.46,30.83,31.26,31.84,32.65,33.70,34.97,36.41,37.95,39.52,41.11,42.74,44.35,45.89,47.35,48.68,49.90,51.03,52.10,53.16,54.21,55.23,56.18,57.05,57.82,58.50,59.08,59.50,59.68,59.56,59.11,58.37,57.49,56.68,56.08,55.76,55.67,55.72,55.79,55.81,55.74,55.62,55.46,55.31,55.20
Saint Kitts and Nevis,659,Country/Area,46.05,46.13,46.49,47.04,47.73,48.49,49.25,49.95,50.55,50.98,51.20,51.20,50.96,50.53,49.93,49.21,48.35,47.39,46.40,45.53,44.88,44.49,44.32,44.30,44.32,44.27,44.14,43.94,43.70,43.45,43.20,42.96,42.73,42.48,42.20,41.87,41.48,41.04,40.63,40.35,40.26,40.38,40.69,41.14,41.62,42.08,42.47,42.86,43.23,43.62,44.08,44.60,45.17,45.75,46.32,46.85,47.33,47.77,48.18,48.60,49.01,49.44,49.88,50.33,50.78,51.20,51.63,52.04,52.44,52.83,53.19
Faroe Islands,234,Country/Area,31.50,31.54,31.67,31.87,32.14,32.48,32.86,33.27,33.71,34.16,34.62,35.07,35.52,35.97,36.41,36.84,37.28,37.71,38.13,38.56,39.01,39.46,39.92,40.40,40.85,41.29,41.72,42.13,42.54,42.94,43.34,43.73,44.10,44.48,44.90,45.33,45.81,46.34,46.83,47.16,47.28,47.12,46.75,46.28,45.85,45.63,45.62,45.79,46.09,46.43,46.74,47.00,47.24,47.44,47.60,47.73,47.79,47.83,47.82,47.81,47.80,47.82,47.84,47.90,47.97,48.06,48.17,48.33,48.50,48.68,48.87
Sint Maarten (Dutch part),534,Country/Area,1.49,1.66,1.80,1.91,2.01,2.11,2.21,2.32,2.46,2.62,2.83,3.08,3.37,3.70,4.06,4.46,4.90,5.36,5.86,6.35,6.85,7.37,7.89,8.43,8.98,9.56,10.15,10.79,11.48,12.24,13.10,14.03,15.03,16.18,17.52,19.13,21.03,23.16,25.33,27.28,28.81,29.85,30.46,30.77,30.95,31.16,31.43,31.73,32.04,32.32,32.56,32.78,32.99,33.20,33.34,33.44,33.45,33.41,33.42,33.65,34.17,35.05,36.24,37.58,38.87,39.97,40.81,41.44,41.94,42.39,42.88
Monaco,492,Country/Area,20.00,19.38,19.08,19.05,19.26,19.65,20.19,20.79,21.41,21.98,22.46,22.81,23.04,23.17,23.24,23.29,23.30,23.29,23.30,23.35,23.49,23.72,24.05,24.45,24.83,25.20,25.52,25.81,26.09,26.39,26.75,27.16,27.63,28.09,28.51,28.84,29.05,29.16,29.23,29.31,29.43,29.63,29.86,30.15,30.44,30.73,31.00,31.27,31.55,31.84,32.15,32.47,32.80,33.14,33.50,33.84,34.19,34.52,34.86,35.22,35.61,36.03,36.46,36.90,37.32,37.72,38.07,38.39,38.68,38.97,39.24
Turks and Caicos Islands,796,Country/Area,5.04,5.00,4.98,5.04,5.13,5.25,5.38,5.50,5.64,5.75,5.83,5.87,5.88,5.87,5.85,5.81,5.78,5.77,5.75,5.77,5.84,5.97,6.16,6.38,6.61,6.83,7.02,7.19,7.38,7.61,7.89,8.24,8.65,9.10,9.56,9.97,10.37,10.72,11.09,11.55,12.12,12.82,13.64,14.53,15.40,16.22,16.93,17.57,18.23,19.07,20.17,21.58,23.23,25.01,26.71,28.18,29.39,30.38,31.20,31.93,32.66,33.37,34.07,34.73,35.37,35.98,36.56,37.12,37.67,38.19,38.72
Saint Martin (French part),663,Country/Area,3.00,3.11,3.19,3.26,3.33,3.41,3.49,3.59,3.69,3.80,3.90,4.00,4.08,4.18,4.30,4.47,4.68,4.92,5.19,5.46,5.71,5.95,6.16,6.37,6.60,6.88,7.25,7.71,8.19,8.56,8.78,8.68,8.37,8.30,9.07,11.07,14.56,19.27,24.37,28.72,31.52,32.44,31.82,30.19,28.48,27.32,26.85,26.91,27.39,28.12,28.94,29.85,30.91,32.06,33.19,34.25,35.24,36.14,36.88,37.38,37.58,37.45,37.01,36.46,36.02,35.87,36.06,36.57,37.26,38.00,38.66
Liechtenstein,438,Country/Area,13.75,13.95,14.14,14.34,14.57,14.82,15.12,15.43,15.77,16.12,16.50,16.89,17.30,17.72,18.17,18.64,19.16,19.69,20.24,20.77,21.27,21.73,22.16,22.56,22.99,23.44,23.93,24.45,24.97,25.46,25.88,26.23,26.53,26.79,27.03,27.29,27.55,27.84,28.14,28.45,28.79,29.17,29.55,29.99,30.42,30.88,31.35,31.83,32.31,32.77,33.18,33.54,33.89,34.17,34.44,34.72,34.98,35.22,35.47,35.72,36.00,36.30,36.62,36.94,37.22,37.47,37.66,37.81,37.92,38.02,38.14
San Marino,674,Country/Area,12.77,12.92,13.10,13.30,13.53,13.79,14.07,14.38,14.71,15.06,15.44,15.84,16.26,16.67,17.10,17.51,17.92,18.31,18.67,18.98,19.22,19.39,19.49,19.56,19.66,19.83,20.09,20.40,20.76,21.12,21.45,21.76,22.04,22.30,22.55,22.79,23.05,23.30,23.55,23.83,24.12,24.45,24.83,25.21,25.59,25.93,26.25,26.56,26.85,27.14,27.46,27.82,28.18,28.56,28.94,29.32,29.69,30.07,30.43,30.83,31.22,31.66,32.10,32.55,32.94,33.27,33.50,33.67,33.78,33.86,33.94
Gibraltar,292,Country/Area,22.03,22.29,22.49,22.63,22.73,22.78,22.83,22.88,22.98,23.15,23.42,23.81,24.31,24.89,25.48,26.08,26.63,27.17,27.69,28.17,28.60,29.01,29.35,29.66,29.89,30.06,30.18,30.23,30.22,30.17,30.07,29.90,29.70,29.48,29.28,29.15,29.10,29.11,29.16,29.19,29.15,29.02,28.84,28.68,28.61,28.69,28.97,29.40,29.95,30.53,31.08,31.60,32.10,32.56,32.93,33.22,33.42,33.52,33.57,33.56,33.59,33.61,33.65,33.69,33.73,33.74,33.74,33.72,33.72,33.71,33.69
British Virgin Islands,92,Country/Area,7.44,7.50,7.55,7.60,7.63,7.68,7.73,7.78,7.86,7.94,8.05,8.16,8.32,8.47,8.64,8.84,9.02,9.21,9.43,9.62,9.83,10.01,10.21,10.39,10.55,10.70,10.82,10.92,11.04,11.23,11.47,11.82,12.25,12.76,13.32,13.95,14.65,15.39,16.16,16.87,17.49,18.01,18.44,18.78,19.07,19.31,19.51,19.66,19.82,20.03,20.31,20.68,21.13,21.67,22.33,23.11,24.02,25.05,26.10,27.04,27.80,28.33,28.65,28.85,28.99,29.15,29.36,29.57,29.80,30.03,30.24
"Bonaire, Sint Eustatius and Saba",535,Country/Area,7.13,7.29,7.43,7.52,7.61,7.67,7.72,7.78,7.86,7.95,8.08,8.23,8.43,8.65,8.89,9.13,9.39,9.64,9.91,10.15,10.36,10.54,10.72,10.84,10.96,11.03,11.08,11.09,11.11,11.14,11.21,11.32,11.47,11.65,11.84,12.02,12.19,12.33,12.49,12.71,13.01,13.43,13.94,14.45,14.86,15.10,15.16,15.08,14.89,14.63,14.39,14.13,13.88,13.76,13.89,14.40,15.34,16.65,18.16,19.65,20.94,22.00,22.84,23.51,24.07,24.57,25.02,25.40,25.71,25.98,26.22
Palau,585,Country/Area,7.43,7.49,7.63,7.82,8.05,8.32,8.59,8.90,9.19,9.48,9.77,10.05,10.33,10.57,10.79,11.01,11.18,11.33,11.46,11.62,11.80,12.05,12.34,12.63,12.82,12.90,12.84,12.65,12.41,12.23,12.18,12.28,12.52,12.84,13.19,13.53,13.84,14.12,14.40,14.70,15.06,15.44,15.86,16.29,16.74,17.16,17.60,18.02,18.41,18.77,19.10,19.39,19.64,19.81,19.86,19.78,19.55,19.16,18.71,18.29,17.95,17.75,17.64,17.60,17.63,17.67,17.72,17.81,17.91,18.00,18.09
Cook Islands,184,Country/Area,15.07,15.41,15.63,15.83,16.06,16.35,16.71,17.12,17.54,17.92,18.21,18.38,18.45,18.51,18.63,18.89,19.33,19.89,20.50,20.99,21.30,21.40,21.31,21.06,20.69,20.23,19.69,19.07,18.44,17.90,17.52,17.31,17.27,17.34,17.47,17.59,17.70,17.79,17.90,18.03,18.20,18.42,18.68,18.93,19.08,19.11,18.95,18.65,18.31,18.04,17.94,18.02,18.27,18.61,18.89,19.07,19.09,18.99,18.81,18.60,18.39,18.20,18.01,17.83,17.69,17.58,17.52,17.51,17.52,17.55,17.56
Anguilla,660,Country/Area,5.12,5.32,5.48,5.60,5.71,5.78,5.85,5.90,5.94,5.99,6.02,6.09,6.14,6.21,6.28,6.36,6.43,6.52,6.61,6.69,6.77,6.85,6.95,7.02,7.10,7.16,7.20,7.25,7.29,7.30,7.28,7.25,7.19,7.15,7.18,7.29,7.51,7.84,8.22,8.58,8.89,9.14,9.33,9.49,9.66,9.87,10.12,10.39,10.68,10.98,11.25,11.52,11.76,11.99,12.23,12.44,12.66,12.86,13.06,13.25,13.44,13.61,13.79,13.95,14.11,14.28,14.44,14.59,14.74,14.87,15.00
Tuvalu,798,Country/Area,4.68,4.78,4.87,4.94,5.01,5.07,5.14,5.19,5.24,5.29,5.32,5.33,5.34,5.34,5.35,5.39,5.44,5.51,5.60,5.67,5.74,5.77,5.79,5.82,5.90,6.06,6.32,6.65,7.02,7.36,7.63,7.83,7.95,8.04,8.11,8.21,8.34,8.48,8.64,8.79,8.91,9.01,9.11,9.19,9.26,9.30,9.32,9.33,9.33,9.34,9.39,9.48,9.59,9.72,9.87,10.00,10.12,10.22,10.32,10.41,10.52,10.63,10.74,10.85,10.97,11.10,11.23,11.37,11.51,11.66,11.79
Wallis and Futuna Islands,876,Country/Area,6.99,7.13,7.27,7.42,7.55,7.67,7.78,7.87,7.96,8.06,8.15,8.28,8.40,8.53,8.63,8.71,8.77,8.81,8.82,8.84,8.86,8.89,8.92,9.00,9.13,9.32,9.59,9.92,10.31,10.75,11.23,11.75,12.30,12.84,13.29,13.63,13.81,13.87,13.85,13.81,13.79,13.82,13.87,13.96,14.06,14.15,14.26,14.35,14.46,14.58,14.70,14.84,14.99,15.10,15.10,14.94,14.61,14.13,13.58,13.07,12.69,12.46,12.37,12.35,12.34,12.26,12.10,11.89,11.65,11.44,11.25
Nauru,520,Country/Area,3.43,3.47,3.56,3.66,3.74,3.82,3.89,3.96,4.05,4.19,4.38,4.63,4.94,5.27,5.59,5.86,6.07,6.22,6.34,6.45,6.55,6.67,6.80,6.93,7.06,7.18,7.28,7.40,7.51,7.63,7.75,7.87,8.02,8.16,8.33,8.50,8.68,8.87,9.06,9.28,9.51,9.77,10.03,10.29,10.50,10.63,10.68,10.64,10.57,10.45,10.34,10.22,10.10,9.99,9.91,9.85,9.83,9.85,9.88,9.95,10.01,10.07,10.14,10.21,10.29,10.37,10.47,10.58,10.68,10.76,10.83
Saint Barthélemy,652,Country/Area,2.00,2.06,2.12,2.17,2.21,2.25,2.27,2.28,2.29,2.30,2.31,2.32,2.34,2.37,2.38,2.38,2.37,2.36,2.34,2.33,2.35,2.37,2.41,2.46,2.52,2.60,2.69,2.81,2.92,3.02,3.09,3.10,3.11,3.11,3.19,3.37,3.67,4.07,4.53,4.97,5.35,5.64,5.85,6.03,6.18,6.37,6.56,6.76,6.98,7.20,7.42,7.66,7.90,8.14,8.36,8.56,8.74,8.87,9.01,9.12,9.23,9.34,9.45,9.55,9.62,9.70,9.75,9.79,9.82,9.85,9.89
Saint Helena,654,Country/Area,5.25,5.29,5.32,5.33,5.34,5.35,5.35,5.36,5.37,5.38,5.36,5.34,5.33,5.33,5.31,5.33,5.37,5.42,5.51,5.60,5.70,5.80,5.91,6.03,6.14,6.23,6.32,6.40,6.46,6.52,6.58,6.65,6.70,6.76,6.80,6.82,6.82,6.80,6.76,6.72,6.65,6.57,6.49,6.39,6.31,6.24,6.20,6.19,6.17,6.13,6.05,5.94,5.80,5.64,5.49,5.35,5.26,5.18,5.15,5.14,5.18,5.28,5.42,5.58,5.74,5.87,5.96,6.01,6.04,6.06,6.07
